pulm_2	pulm_1	by	score	n
ejective	pulmonic	('s08', 'question', 'labial', 'a')	0.994214876033	2420
pulmonic	ejective	('s08', 'question', 'labial', 'a')	0.846123573396	5082
ejective	pulmonic	('s08', 'answer', 'labial', 'a')	0.973684210526	2508
pulmonic	ejective	('s08', 'answer', 'labial', 'a')	0.841861598441	4104
ejective	pulmonic	('s09', 'answer', 'coronal', 'e')	1.0	14
pulmonic	ejective	('s09', 'answer', 'coronal', 'e')	0.880952380952	84
ejective	pulmonic	('s08', 'answer', 'velar', 'e')	1.0	14
pulmonic	ejective	('s08', 'answer', 'velar', 'e')	0.630952380952	84
ejective	pulmonic	('s09', 'answer', 'velar', 'e')	1.0	14
pulmonic	ejective	('s09', 'answer', 'velar', 'e')	0.821428571429	84
ejective	pulmonic	('s09', 'answer', 'labial', 'a')	0.941326530612	1176
pulmonic	ejective	('s09', 'answer', 'labial', 'a')	0.772619047619	3360
ejective	pulmonic	('s08', 'question', 'coronal', 'e')	1.0	16
pulmonic	ejective	('s08', 'question', 'coronal', 'e')	1.0	112
ejective	pulmonic	('s09', 'question', 'labial', 'a')	0.94347826087	690
pulmonic	ejective	('s09', 'question', 'labial', 'a')	0.884387351779	3036
pulmonic	ejective	('s08', 'question', 'velar', 'e')	0.809523809524	42
pulmonic	ejective	('s08', 'question', 'velar', 'a')	0.865497076023	342
ejective	pulmonic	('s08', 'question', 'coronal', 'o')	0.5	2
ejective	pulmonic	('s09', 'question', 'coronal', 'o')	1.0	4
pulmonic	ejective	('s09', 'question', 'coronal', 'o')	1.0	4
ejective	pulmonic	('s08', 'answer', 'coronal', 'e')	1.0	14
pulmonic	ejective	('s08', 'answer', 'coronal', 'e')	1.0	84
ejective	pulmonic	('s09', 'question', 'velar', 'e')	1.0	16
pulmonic	ejective	('s09', 'question', 'velar', 'e')	0.723214285714	112
ejective	pulmonic	('s08', 'answer', 'coronal', 'o')	1.0	4
pulmonic	ejective	('s08', 'answer', 'coronal', 'o')	1.0	4
ejective	pulmonic	('s09', 'question', 'coronal', 'e')	1.0	16
pulmonic	ejective	('s09', 'question', 'coronal', 'e')	0.866071428571	112
