pulm_2	pulm_1	by	score	n
ejective	pulmonic	('s08', 'answer', 1, 'o')	0.821428571429	112
pulmonic	ejective	('s08', 'answer', 1, 'o')	1.0	16
ejective	pulmonic	('s09', 'answer', 1, 'a')	0.966517857143	2688
pulmonic	ejective	('s09', 'answer', 1, 'a')	0.578623670213	18048
ejective	pulmonic	('s08', 'question', 1, 'a')	0.871640937679	6996
pulmonic	ejective	('s08', 'question', 1, 'a')	0.600356797291	33072
ejective	pulmonic	('s08', 'question', 1, 'o')	0.708333333333	72
ejective	pulmonic	('s08', 'answer', 1, 'a')	0.987631416203	6468
pulmonic	ejective	('s08', 'answer', 1, 'a')	0.655647675737	28224
ejective	pulmonic	('s09', 'question', 1, 'e')	0.631578947368	228
pulmonic	ejective	('s09', 'question', 1, 'e')	0.642543859649	1368
ejective	pulmonic	('s08', 'answer', 1, 'e')	0.809523809524	168
pulmonic	ejective	('s08', 'answer', 1, 'e')	0.75	728
ejective	pulmonic	('s09', 'answer', 1, 'e')	0.697916666667	192
pulmonic	ejective	('s09', 'answer', 1, 'e')	0.76875	960
ejective	pulmonic	('s09', 'question', 1, 'a')	0.973099415205	1710
pulmonic	ejective	('s09', 'question', 1, 'a')	0.673872180451	19152
ejective	pulmonic	('s09', 'question', 1, 'o')	0.741071428571	112
pulmonic	ejective	('s09', 'question', 1, 'o')	0.9375	16
ejective	pulmonic	('s08', 'question', 1, 'e')	0.862745098039	102
pulmonic	ejective	('s08', 'question', 1, 'e')	0.942401960784	816
