pulm_2	pulm_1	by	score	n
ejective	pulmonic	('labial', 's08', 'answer', 1, 'a')	0.973684210526	2508
pulmonic	ejective	('labial', 's08', 'answer', 1, 'a')	0.841861598441	4104
ejective	pulmonic	('coronal', 's08', 'question', 1, 'o')	0.5	2
ejective	pulmonic	('coronal', 's09', 'question', 1, 'o')	1.0	4
pulmonic	ejective	('coronal', 's09', 'question', 1, 'o')	1.0	4
ejective	pulmonic	('coronal', 's09', 'answer', 1, 'e')	1.0	14
pulmonic	ejective	('coronal', 's09', 'answer', 1, 'e')	0.880952380952	84
ejective	pulmonic	('velar', 's09', 'answer', 1, 'e')	1.0	14
pulmonic	ejective	('velar', 's09', 'answer', 1, 'e')	0.821428571429	84
ejective	pulmonic	('coronal', 's08', 'question', 1, 'e')	1.0	16
pulmonic	ejective	('coronal', 's08', 'question', 1, 'e')	1.0	112
ejective	pulmonic	('coronal', 's08', 'answer', 1, 'o')	1.0	4
pulmonic	ejective	('coronal', 's08', 'answer', 1, 'o')	1.0	4
pulmonic	ejective	('velar', 's08', 'question', 1, 'a')	0.865497076023	342
ejective	pulmonic	('coronal', 's09', 'question', 1, 'e')	1.0	16
pulmonic	ejective	('coronal', 's09', 'question', 1, 'e')	0.866071428571	112
ejective	pulmonic	('velar', 's09', 'question', 1, 'e')	1.0	16
pulmonic	ejective	('velar', 's09', 'question', 1, 'e')	0.723214285714	112
pulmonic	ejective	('velar', 's08', 'question', 1, 'e')	0.809523809524	42
ejective	pulmonic	('labial', 's09', 'question', 1, 'a')	0.94347826087	690
pulmonic	ejective	('labial', 's09', 'question', 1, 'a')	0.884387351779	3036
ejective	pulmonic	('labial', 's09', 'answer', 1, 'a')	0.941326530612	1176
pulmonic	ejective	('labial', 's09', 'answer', 1, 'a')	0.772619047619	3360
ejective	pulmonic	('coronal', 's08', 'answer', 1, 'e')	1.0	14
pulmonic	ejective	('coronal', 's08', 'answer', 1, 'e')	1.0	84
ejective	pulmonic	('velar', 's08', 'answer', 1, 'e')	1.0	14
pulmonic	ejective	('velar', 's08', 'answer', 1, 'e')	0.630952380952	84
ejective	pulmonic	('labial', 's08', 'question', 1, 'a')	0.994214876033	2420
pulmonic	ejective	('labial', 's08', 'question', 1, 'a')	0.846123573396	5082
