type_2	type_1	by	score	n
ejective	plain	('cor', 's09', 'Q', 1, 2)	0.8125	16
plain	ejective	('cor', 's09', 'Q', 1, 2)	0.348214285714	112
ejective	plain	('lab', 's09', 'Q', 1, 1)	0.433333333333	660
plain	ejective	('lab', 's09', 'Q', 1, 1)	0.518037518038	2772
ejective	plain	('lab', 's09', 'Q', 2, 1)	0.75	36
plain	ejective	('lab', 's09', 'Q', 2, 1)	0.166666666667	24
ejective	plain	('lab', 's08', 'Q', 2, 3)	0.5	8
plain	ejective	('lab', 's08', 'Q', 2, 3)	0.333333333333	24
ejective	plain	('vel', 's08', 'A', 1, 2)	0.857142857143	14
plain	ejective	('vel', 's08', 'A', 1, 2)	0.333333333333	84
plain	ejective	('vel', 's08', 'Q', 1, 1)	0.868421052632	342
ejective	plain	('lab', 's09', 'A', 1, 1)	0.450680272109	1176
plain	ejective	('lab', 's09', 'A', 1, 1)	0.590773809524	3360
ejective	plain	('lab', 's09', 'A', 2, 1)	0.583333333333	36
plain	ejective	('lab', 's09', 'A', 2, 1)	0.291666666667	24
ejective	plain	('vel', 's09', 'A', 1, 2)	0.428571428571	14
plain	ejective	('vel', 's09', 'A', 1, 2)	0.333333333333	84
ejective	plain	('lab', 's08', 'A', 2, 3)	1.0	8
plain	ejective	('lab', 's08', 'A', 2, 3)	0.458333333333	24
ejective	plain	('cor', 's08', 'A', 1, 2)	1.0	14
plain	ejective	('cor', 's08', 'A', 1, 2)	0.261904761905	84
plain	ejective	('vel', 's08', 'Q', 1, 2)	0.547619047619	42
ejective	plain	('lab', 's09', 'Q', 2, 3)	0.875	8
plain	ejective	('lab', 's09', 'Q', 2, 3)	0.208333333333	24
ejective	plain	('lab', 's08', 'Q', 1, 1)	0.594214876033	2420
plain	ejective	('lab', 's08', 'Q', 1, 1)	0.434671389217	5082
plain	ejective	('vel', 's09', 'Q', 2, 3)	1.0	12
ejective	plain	('cor', 's08', 'A', 1, 4)	0.0	4
plain	ejective	('cor', 's08', 'A', 1, 4)	1.0	4
ejective	plain	('cor', 's08', 'Q', 1, 2)	1.0	16
plain	ejective	('cor', 's08', 'Q', 1, 2)	0.4375	112
plain	ejective	('lab', 's09', 'A', 2, 3)	0.333333333333	6
ejective	plain	('lab', 's08', 'A', 1, 1)	0.672272727273	2200
plain	ejective	('lab', 's08', 'A', 1, 1)	0.533253588517	4180
ejective	plain	('cor', 's08', 'Q', 1, 4)	1.0	2
ejective	plain	('vel', 's08', 'A', 2, 3)	0.333333333333	12
plain	ejective	('vel', 's08', 'A', 2, 3)	0.533333333333	60
ejective	plain	('lab', 's08', 'Q', 2, 1)	0.309523809524	42
ejective	plain	('cor', 's09', 'A', 1, 2)	0.916666666667	12
plain	ejective	('cor', 's09', 'A', 1, 2)	0.383333333333	60
ejective	plain	('cor', 's09', 'Q', 1, 4)	0.25	4
plain	ejective	('cor', 's09', 'Q', 1, 4)	0.25	4
ejective	plain	('vel', 's09', 'Q', 1, 2)	0.9375	16
plain	ejective	('vel', 's09', 'Q', 1, 2)	0.651785714286	112
plain	ejective	('vel', 's09', 'A', 2, 3)	0.5	2
plain	ejective	('vel', 's08', 'Q', 2, 3)	0.4	20
