pulm_2	pulm_1	by	score	n
ejective	pulmonic	('s08', 'coronal', 'e', 'answer')	1.0	14
pulmonic	ejective	('s08', 'coronal', 'e', 'answer')	1.0	84
ejective	pulmonic	('s08', 'velar', 'e', 'answer')	1.0	14
pulmonic	ejective	('s08', 'velar', 'e', 'answer')	0.630952380952	84
ejective	pulmonic	('s09', 'coronal', 'o', 'question')	1.0	4
pulmonic	ejective	('s09', 'coronal', 'o', 'question')	1.0	4
ejective	pulmonic	('s09', 'coronal', 'e', 'answer')	1.0	14
pulmonic	ejective	('s09', 'coronal', 'e', 'answer')	0.880952380952	84
ejective	pulmonic	('s09', 'labial', 'a', 'question')	0.94347826087	690
pulmonic	ejective	('s09', 'labial', 'a', 'question')	0.884387351779	3036
ejective	pulmonic	('s08', 'labial', 'a', 'question')	0.994214876033	2420
pulmonic	ejective	('s08', 'labial', 'a', 'question')	0.846123573396	5082
ejective	pulmonic	('s09', 'velar', 'e', 'question')	1.0	16
pulmonic	ejective	('s09', 'velar', 'e', 'question')	0.723214285714	112
ejective	pulmonic	('s08', 'labial', 'a', 'answer')	0.973684210526	2508
pulmonic	ejective	('s08', 'labial', 'a', 'answer')	0.841861598441	4104
pulmonic	ejective	('s08', 'velar', 'a', 'question')	0.865497076023	342
ejective	pulmonic	('s09', 'labial', 'a', 'answer')	0.941326530612	1176
pulmonic	ejective	('s09', 'labial', 'a', 'answer')	0.772619047619	3360
pulmonic	ejective	('s08', 'velar', 'e', 'question')	0.809523809524	42
ejective	pulmonic	('s09', 'coronal', 'e', 'question')	1.0	16
pulmonic	ejective	('s09', 'coronal', 'e', 'question')	0.866071428571	112
ejective	pulmonic	('s08', 'coronal', 'o', 'question')	0.5	2
ejective	pulmonic	('s08', 'coronal', 'e', 'question')	1.0	16
pulmonic	ejective	('s08', 'coronal', 'e', 'question')	1.0	112
ejective	pulmonic	('s08', 'coronal', 'o', 'answer')	1.0	4
pulmonic	ejective	('s08', 'coronal', 'o', 'answer')	1.0	4
ejective	pulmonic	('s09', 'velar', 'e', 'answer')	1.0	14
pulmonic	ejective	('s09', 'velar', 'e', 'answer')	0.821428571429	84
