pulm_2	pulm_1	by	score	n
ejective	pulmonic	('s08', 'question', 'labial', 'a')	0.707024793388	2420
pulmonic	ejective	('s08', 'question', 'labial', 'a')	0.456513183786	5082
ejective	pulmonic	('s08', 'answer', 'labial', 'a')	0.555023923445	2508
pulmonic	ejective	('s08', 'answer', 'labial', 'a')	0.559941520468	4104
ejective	pulmonic	('s09', 'answer', 'coronal', 'e')	0.714285714286	14
pulmonic	ejective	('s09', 'answer', 'coronal', 'e')	0.321428571429	84
ejective	pulmonic	('s08', 'answer', 'velar', 'e')	1.0	14
pulmonic	ejective	('s08', 'answer', 'velar', 'e')	0.416666666667	84
ejective	pulmonic	('s09', 'answer', 'velar', 'e')	0.285714285714	14
pulmonic	ejective	('s09', 'answer', 'velar', 'e')	0.52380952381	84
ejective	pulmonic	('s09', 'answer', 'labial', 'a')	0.632653061224	1176
pulmonic	ejective	('s09', 'answer', 'labial', 'a')	0.467261904762	3360
ejective	pulmonic	('s08', 'question', 'coronal', 'e')	0.875	16
pulmonic	ejective	('s08', 'question', 'coronal', 'e')	0.455357142857	112
ejective	pulmonic	('s09', 'question', 'labial', 'a')	0.476811594203	690
pulmonic	ejective	('s09', 'question', 'labial', 'a')	0.485177865613	3036
pulmonic	ejective	('s08', 'question', 'velar', 'e')	0.52380952381	42
pulmonic	ejective	('s08', 'question', 'velar', 'a')	0.90350877193	342
ejective	pulmonic	('s08', 'question', 'coronal', 'o')	1.0	2
ejective	pulmonic	('s09', 'question', 'coronal', 'o')	0.75	4
pulmonic	ejective	('s09', 'question', 'coronal', 'o')	0.25	4
ejective	pulmonic	('s08', 'answer', 'coronal', 'e')	0.5	14
pulmonic	ejective	('s08', 'answer', 'coronal', 'e')	0.75	84
ejective	pulmonic	('s09', 'question', 'velar', 'e')	0.625	16
pulmonic	ejective	('s09', 'question', 'velar', 'e')	0.857142857143	112
ejective	pulmonic	('s08', 'answer', 'coronal', 'o')	1.0	4
pulmonic	ejective	('s08', 'answer', 'coronal', 'o')	1.0	4
ejective	pulmonic	('s09', 'question', 'coronal', 'e')	0.625	16
pulmonic	ejective	('s09', 'question', 'coronal', 'e')	0.455357142857	112
