#file onset offset #item phone pulm place vowel position speaker
geo020s08a0005v02 0.757926 0.968888 #i1 t>e ejective coronal e initial she
geo020s08a0006v01 0.956625 1.142602 #i2 t>e ejective coronal e initial she
geo020s08a0006v02 0.759330 0.977385 #i3 t>e ejective coronal e initial she
geo020s08a0007v01 0.800835 0.972447 #i4 ka plain velar a initial she
geo020s08a0007v02 0.757004 0.977582 #i5 pa plain labial a initial she
geo020s08a0008v01 0.749358 0.961481 #i6 pa plain labial a initial she
geo020s08a0008v02 0.651875 0.875807 #i7 pa plain labial a initial she
geo020s08a0009v01 0.826990 1.004979 #i8 k>a ejective velar a initial she
geo020s08a0011v01 1.116563 1.312248 #i9 k>a ejective velar a medial she
geo020s08a0011v02 1.009392 1.165079 #i10 t>i ejective coronal i medial she
geo020s08a0011v02 1.165079 1.389090 #i11 k>a ejective velar a medial she
geo020s08a0012v01 0.976847 1.144974 #i12 t>i ejective coronal i medial she
geo020s08a0012v01 1.144974 1.283368 #i13 k>a ejective velar a medial she
geo020s08a0012v02 0.843801 1.015255 #i14 t>i ejective coronal i medial she
geo020s08a0012v02 1.015255 1.218020 #i15 k>a ejective velar a medial she
geo020s08a0013v01 0.553685 0.729623 #i16 t>e ejective coronal e initial she
geo020s08a0015v02 0.712140 0.962251 #i17 t>a ejective coronal a initial she
geo020s08a0016v01 0.643325 0.879655 #i18 t>a ejective coronal a initial she
geo020s08a0016v02 0.782314 1.026471 #i19 t>a ejective coronal a initial she
geo020s08a0019v01 0.576485 0.752007 #i20 k>a ejective velar a initial she
geo020s08a0019v01 0.752007 0.951328 #i21 k>a ejective velar a medial she
geo020s08a0021v01 0.753131 0.938117 #i22 k>a ejective velar a initial she
geo020s08a0023v01 0.656796 0.913126 #i23 p>a ejective labial a initial she
geo020s08a0023v02 0.681178 0.913307 #i24 po plain labial o initial she
geo020s08a0024v01 0.597118 0.797138 #i25 po plain labial o initial she
geo020s08a0024v02 0.554324 0.754418 #i26 po plain labial o initial she
geo020s08a0025v02 0.683262 0.851704 #i27 t>i ejective coronal i initial she
geo020s08a0025v02 0.851704 1.044851 #i28 t>u ejective coronal u medial she
geo020s08a0026v01 0.748401 0.916298 #i29 t>i ejective coronal i initial she
geo020s08a0026v01 0.916298 1.095098 #i30 t>u ejective coronal u medial she
geo020s08a0026v02 0.636557 0.802854 #i31 t>i ejective coronal i initial she
geo020s08a0026v02 0.802854 1.004488 #i32 t>u ejective coronal u medial she
geo020s08a0027v01 0.752472 0.951826 #i33 k>e ejective velar e initial she
geo020s08a0029v02 0.726294 0.909005 #i34 p>i ejective labial i initial she
geo020s08a0029v02 1.090760 1.249849 #i35 t>i ejective coronal i medial she
geo020s08a0030v01 0.888370 1.058636 #i36 p>i ejective labial i initial she
geo020s08a0030v01 1.233767 1.376137 #i37 t>i ejective coronal i medial she
geo020s08a0030v02 0.763475 0.927351 #i38 p>i ejective labial i initial she
geo020s08a0030v02 1.093722 1.289407 #i39 t>i ejective coronal i medial she
geo020s08a0033v02 0.693534 0.896089 #i40 k>a ejective velar a initial she
geo020s08a0033v02 0.896089 1.079964 #i41 k>a ejective velar a medial she
geo020s08a0034v01 0.375953 0.558510 #i42 k>a ejective velar a initial she
geo020s08a0034v01 0.558510 0.719019 #i43 k>a ejective velar a medial she
geo020s08a0034v02 0.555153 0.741413 #i44 k>a ejective velar a initial she
geo020s08a0034v02 0.741413 0.913346 #i45 k>a ejective velar a medial she
geo020s08a0035v01 0.975675 1.186957 #i46 t>a ejective coronal a medial she
geo020s08a0039v01 0.703229 0.899037 #i47 k>a ejective velar a initial she
geo020s08a0039v01 0.899037 1.099197 #i48 k>a ejective velar a medial she
geo020s08a0041v02 0.687789 0.920128 #i49 t>e ejective coronal e initial she
geo020s08a0042v01 0.883081 1.101890 #i50 t>e ejective coronal e initial she
geo020s08a0042v02 0.574912 0.776615 #i51 t>e ejective coronal e initial she
geo020s08a0045v01 0.990282 1.209971 #i52 p>i ejective labial i medial she
geo020s08a0047v01 0.619789 0.787818 #i53 t>a ejective coronal a initial she
geo020s08a0047v02 0.665651 0.861383 #i54 t>a ejective coronal a initial she
geo020s08a0048v01 0.839165 1.065137 #i55 t>e ejective coronal e initial she
geo020s08a0055v02 0.709788 0.907748 #i56 ko plain velar o initial she
geo020s08a0056v01 0.656671 0.873584 #i57 ko plain velar o initial she
geo020s08a0056v02 0.608728 0.808258 #i58 ko plain velar o initial she
geo020s08a0057v01 0.774185 0.979869 #i59 p>a ejective labial a initial she
geo020s08a0057v01 0.979869 1.201915 #i60 pi plain labial i medial she
geo020s08a0059v01 0.746690 0.952843 #i61 p>a ejective labial a initial she
geo020s08a0059v01 0.952843 1.174680 #i62 t>a ejective coronal a medial she
geo020s08a0059v02 1.222808 1.473528 #i63 t>i ejective coronal i medial she
geo020s08a0060v01 1.153380 1.296621 #i64 t>i ejective coronal i medial she
geo020s08a0060v02 1.191087 1.378416 #i65 t>i ejective coronal i medial she
geo020s08a0061v02 0.775477 0.974481 #i66 t>a ejective coronal a initial she
geo020s08a0061v02 1.157097 1.356101 #i67 k>a ejective velar a medial she
geo020s08a0062v01 0.814366 1.001014 #i68 t>a ejective coronal a initial she
geo020s08a0062v01 1.144255 1.294008 #i69 k>a ejective velar a medial she
geo020s08a0062v02 0.629381 0.807296 #i70 t>a ejective coronal a initial she
