 file_A onset_A offset_A file_B onset_B offset_B "d(A, B)"
0 geo020s08a0023v01 0.656796 0.913126 geo020s08a0008v01 0.749358 0.961481 0.102675139397
1 geo020s08a0057v01 0.774185 0.979869 geo020s08a0008v01 0.749358 0.961481 0.0848222068335
2 geo020s08a0059v01 0.74669 0.952843 geo020s08a0008v01 0.749358 0.961481 0.0936024712732
3 geo020s08a0064v01 0.646078 0.841372 geo020s08a0008v01 0.749358 0.961481 0.0971284150537
4 geo020s08a0068v01 0.814684 1.007574 geo020s08a0008v01 0.749358 0.961481 0.0920237895978
5 geo020s08a0070v01 0.663168 0.865928 geo020s08a0008v01 0.749358 0.961481 0.0963727248913
6 geo020s08a0082v01 0.624177 0.806174 geo020s08a0008v01 0.749358 0.961481 0.0890677401709
7 geo020s08a0084v01 0.632335 0.817321 geo020s08a0008v01 0.749358 0.961481 0.073037229267
8 geo020s08a0086v01 0.555576 0.746346 geo020s08a0008v01 0.749358 0.961481 0.0697510735519
9 geo020s08a0087v01 0.885794 1.091383 geo020s08a0008v01 0.749358 0.961481 0.085323844166
10 geo020s08a0098v01 0.697107 0.906689 geo020s08a0008v01 0.749358 0.961481 0.113860459912
11 geo020s08a0105v01 0.776023 1.005891 geo020s08a0008v01 0.749358 0.961481 0.0674637135303
12 geo020s08a0107v01 0.751399 0.94525 geo020s08a0008v01 0.749358 0.961481 0.0813548266108
13 geo020s08a0115v01 0.95126 1.162241 geo020s08a0008v01 0.749358 0.961481 0.0818437156002
14 geo020s08a0116v01 0.782357 0.957425 geo020s08a0008v01 0.749358 0.961481 0.0960197026836
15 geo020s08a0119v01 0.898461 1.140734 geo020s08a0008v01 0.749358 0.961481 0.0900907904053
16 geo020s08a0120v01 0.588214 0.787455 geo020s08a0008v01 0.749358 0.961481 0.0665521277612
17 geo020s08a0128v01 0.67874 0.848858 geo020s08a0008v01 0.749358 0.961481 0.102224748087
18 geo020s08a0133v01 0.795091 1.001877 geo020s08a0008v01 0.749358 0.961481 0.112006949242
19 geo020s08a0137v01 0.711285 0.901406 geo020s08a0008v01 0.749358 0.961481 0.0974030474114
20 geo020s08a0141v01 0.755768 0.961358 geo020s08a0008v01 0.749358 0.961481 0.0592911220566
21 geo020s08a0158v01 0.90654 1.085538 geo020s08a0008v01 0.749358 0.961481 0.0950115898277
22 geo020s08a0192v01 0.737476 0.920889 geo020s08a0008v01 0.749358 0.961481 0.102418964676
23 geo020s08a0194v01 0.658023 0.818327 geo020s08a0008v01 0.749358 0.961481 0.123795204896
24 geo020s08a0197v01 0.847269 1.04311 geo020s08a0008v01 0.749358 0.961481 0.113540466241
25 geo020s08a0201v01 0.782428 0.980646 geo020s08a0008v01 0.749358 0.961481 0.0986047513528
26 geo020s08a0203v01 0.693165 0.881949 geo020s08a0008v01 0.749358 0.961481 0.0897453911049
27 geo020s08a0215v01 0.740317 0.927306 geo020s08a0008v01 0.749358 0.961481 0.0953357007704
28 geo020s08a0217v01 0.797378 0.986752 geo020s08a0008v01 0.749358 0.961481 0.0650016405813
29 geo020s08a0219v01 0.811493 1.035365 geo020s08a0008v01 0.749358 0.961481 0.0672871468502
30 geo020s08a0240v01 0.831724 1.02012 geo020s08a0008v01 0.749358 0.961481 0.0793732890594
31 geo020s08a0250v01 0.640772 0.856449 geo020s08a0008v01 0.749358 0.961481 0.0859823671052
32 geo020s08a0008v01 0.749358 0.961481 geo020s08a0023v01 0.656796 0.913126 0.102675139397
33 geo020s08a0057v01 0.774185 0.979869 geo020s08a0023v01 0.656796 0.913126 0.100487041638
34 geo020s08a0059v01 0.74669 0.952843 geo020s08a0023v01 0.656796 0.913126 0.11139385423
35 geo020s08a0064v01 0.646078 0.841372 geo020s08a0023v01 0.656796 0.913126 0.0993895975987
36 geo020s08a0068v01 0.814684 1.007574 geo020s08a0023v01 0.656796 0.913126 0.108536691264
37 geo020s08a0070v01 0.663168 0.865928 geo020s08a0023v01 0.656796 0.913126 0.0988900702988
38 geo020s08a0082v01 0.624177 0.806174 geo020s08a0023v01 0.656796 0.913126 0.1142820681
39 geo020s08a0084v01 0.632335 0.817321 geo020s08a0023v01 0.656796 0.913126 0.11945686125
40 geo020s08a0086v01 0.555576 0.746346 geo020s08a0023v01 0.656796 0.913126 0.100168340622
41 geo020s08a0087v01 0.885794 1.091383 geo020s08a0023v01 0.656796 0.913126 0.0968932013765
42 geo020s08a0098v01 0.697107 0.906689 geo020s08a0023v01 0.656796 0.913126 0.0876474694916
43 geo020s08a0105v01 0.776023 1.005891 geo020s08a0023v01 0.656796 0.913126 0.112036050267
44 geo020s08a0107v01 0.751399 0.94525 geo020s08a0023v01 0.656796 0.913126 0.099466512132
45 geo020s08a0115v01 0.95126 1.162241 geo020s08a0023v01 0.656796 0.913126 0.125504352738
46 geo020s08a0116v01 0.782357 0.957425 geo020s08a0023v01 0.656796 0.913126 0.125691927828
47 geo020s08a0119v01 0.898461 1.140734 geo020s08a0023v01 0.656796 0.913126 0.0883291311885
48 geo020s08a0120v01 0.588214 0.787455 geo020s08a0023v01 0.656796 0.913126 0.109969900848
49 geo020s08a0128v01 0.67874 0.848858 geo020s08a0023v01 0.656796 0.913126 0.114263866274
50 geo020s08a0133v01 0.795091 1.001877 geo020s08a0023v01 0.656796 0.913126 0.103175750017
51 geo020s08a0137v01 0.711285 0.901406 geo020s08a0023v01 0.656796 0.913126 0.110600997413
52 geo020s08a0141v01 0.755768 0.961358 geo020s08a0023v01 0.656796 0.913126 0.100046324471
53 geo020s08a0158v01 0.90654 1.085538 geo020s08a0023v01 0.656796 0.913126 0.083881145082
54 geo020s08a0192v01 0.737476 0.920889 geo020s08a0023v01 0.656796 0.913126 0.103867424267
55 geo020s08a0194v01 0.658023 0.818327 geo020s08a0023v01 0.656796 0.913126 0.115918478699
56 geo020s08a0197v01 0.847269 1.04311 geo020s08a0023v01 0.656796 0.913126 0.10428067736
57 geo020s08a0201v01 0.782428 0.980646 geo020s08a0023v01 0.656796 0.913126 0.0988874415754
58 geo020s08a0203v01 0.693165 0.881949 geo020s08a0023v01 0.656796 0.913126 0.0884295398648
59 geo020s08a0215v01 0.740317 0.927306 geo020s08a0023v01 0.656796 0.913126 0.101675758578
60 geo020s08a0217v01 0.797378 0.986752 geo020s08a0023v01 0.656796 0.913126 0.110701913536
61 geo020s08a0219v01 0.811493 1.035365 geo020s08a0023v01 0.656796 0.913126 0.118277496824
62 geo020s08a0240v01 0.831724 1.02012 geo020s08a0023v01 0.656796 0.913126 0.102412022927
63 geo020s08a0250v01 0.640772 0.856449 geo020s08a0023v01 0.656796 0.913126 0.106327120268
64 geo020s08a0008v01 0.749358 0.961481 geo020s08a0057v01 0.774185 0.979869 0.0848222068335
65 geo020s08a0023v01 0.656796 0.913126 geo020s08a0057v01 0.774185 0.979869 0.100487041638
66 geo020s08a0059v01 0.74669 0.952843 geo020s08a0057v01 0.774185 0.979869 0.102055653337
67 geo020s08a0064v01 0.646078 0.841372 geo020s08a0057v01 0.774185 0.979869 0.102111393895
68 geo020s08a0068v01 0.814684 1.007574 geo020s08a0057v01 0.774185 0.979869 0.0944805287605
69 geo020s08a0070v01 0.663168 0.865928 geo020s08a0057v01 0.774185 0.979869 0.0925059622162
