pulm_2	pulm_1	by	score	n
ejective	pulmonic	('s08', 'question', 'labial', 'a')	0.977272727273	2420
pulmonic	ejective	('s08', 'question', 'labial', 'a')	0.807162534435	5082
ejective	pulmonic	('s08', 'answer', 'labial', 'a')	0.928229665072	2508
pulmonic	ejective	('s08', 'answer', 'labial', 'a')	0.844785575049	4104
ejective	pulmonic	('s09', 'answer', 'coronal', 'e')	1.0	14
pulmonic	ejective	('s09', 'answer', 'coronal', 'e')	0.845238095238	84
ejective	pulmonic	('s08', 'answer', 'velar', 'e')	1.0	14
pulmonic	ejective	('s08', 'answer', 'velar', 'e')	0.607142857143	84
ejective	pulmonic	('s09', 'answer', 'velar', 'e')	1.0	14
pulmonic	ejective	('s09', 'answer', 'velar', 'e')	0.797619047619	84
ejective	pulmonic	('s09', 'answer', 'labial', 'a')	0.965136054422	1176
pulmonic	ejective	('s09', 'answer', 'labial', 'a')	0.721726190476	3360
ejective	pulmonic	('s08', 'question', 'coronal', 'e')	1.0	16
pulmonic	ejective	('s08', 'question', 'coronal', 'e')	1.0	112
ejective	pulmonic	('s09', 'question', 'labial', 'a')	0.905797101449	690
pulmonic	ejective	('s09', 'question', 'labial', 'a')	0.878458498024	3036
pulmonic	ejective	('s08', 'question', 'velar', 'e')	0.809523809524	42
pulmonic	ejective	('s08', 'question', 'velar', 'a')	0.804093567251	342
ejective	pulmonic	('s08', 'question', 'coronal', 'o')	0.5	2
ejective	pulmonic	('s09', 'question', 'coronal', 'o')	1.0	4
pulmonic	ejective	('s09', 'question', 'coronal', 'o')	1.0	4
ejective	pulmonic	('s08', 'answer', 'coronal', 'e')	1.0	14
pulmonic	ejective	('s08', 'answer', 'coronal', 'e')	1.0	84
ejective	pulmonic	('s09', 'question', 'velar', 'e')	1.0	16
pulmonic	ejective	('s09', 'question', 'velar', 'e')	0.616071428571	112
ejective	pulmonic	('s08', 'answer', 'coronal', 'o')	1.0	4
pulmonic	ejective	('s08', 'answer', 'coronal', 'o')	1.0	4
ejective	pulmonic	('s09', 'question', 'coronal', 'e')	1.0	16
pulmonic	ejective	('s09', 'question', 'coronal', 'e')	0.857142857143	112
