speaker	file	word	syll-nb	segment	syll-id	position	constriction	glottal-burst	vowel	v-duration	glottalization	vot'	vot	interburst	type 
s08	geo020s08a0005v02	t>eva	2	t>	1	initial	74.03	0	e	136.94	0	60.63	58.45	2.18	ejective
s08	geo020s08a0006v01	t>eva	2	t>	1	initial	74.01	1	e	111.97	1	64.47	62.97	1.50	ejective
s08	geo020s08a0006v02	t>eva	2	t>	1	initial	78.24	0	e	139.82	0	94.54	92.69	1.85	ejective
s08	geo020s08a0007v01	k>aba	2	k	1	initial	48.64	0	a	122.97	0	0	28.54	0	pulmonic
s08	geo020s08a0007v02	pakt>i	2	p	1	initial	81.32	0	a	139.25	0	0	70.19	0	pulmonic
s08	geo020s08a0008v01	pakt>i	2	p	1	initial	79.93	0	a	132.19	0	0	41.92	0	pulmonic
s08	geo020s08a0008v02	pakt>i	2	p	1	initial	86.73	0	a	137.20	0	0	66.09	0	pulmonic
s08	geo020s08a0009v01	k>arada	3	k>	1	initial	58.64	0	a	119.35	0	62.24	60.73	1.51	ejective
s08	geo020s08a0011v01	pxek>a	2	p	1	initial	76.55	0	x	181.98	0	0	404.99	0	pulmonic
s08	geo020s08a0011v01	pxek>a	2	k>	2	medial	49.72	0	a	145.97	1	148.44	145.97	2.47	ejective
s08	geo020s08a0011v02	k>rit>ik>a	3	t>	2	medial	54.74	0	i	100.95	1	68.36	310.71	-242.35	ejective
s08	geo020s08a0011v02	k>rit>ik>a	3	k>	3	medial	55.17	0	a	168.84	1	90.29	90.29	0	ejective
s08	geo020s08a0012v01	k>rit>ik>a	3	t>	2	medial	64.49	0	i	103.64	1	36.71	36.71	0	ejective
s08	geo020s08a0012v01	k>rit>ik>a	3	k>	3	medial	39.21	0	a	99.19	1	99.19	99.19	0	ejective
s08	geo020s08a0012v02	k>rit>ik>a	3	t>	2	medial	102.70	0	i	68.75	1	37.27	25.30	11.97	ejective
s08	geo020s08a0012v02	k>rit>ik>a	3	k>	3	medial	70.24	0	a	132.53	0	50.36	132.48	-82.13	ejective
s08	geo020s08a0013v01	t>ekst>i	2	t>	1	initial	78.67	0	e	97.26	1	42.05	39.65	2.40	ejective
s08	geo020s08a0015v02	t>ani	2	t>	1	initial	88.22	1	a	161.89	0	68.37	65.01	3.35	ejective
s08	geo020s08a0016v01	t>ani	2	t>	1	initial	89.51	1	a	146.82	1	65.75	61.55	4.20	ejective
s08	geo020s08a0016v02	t>ani	2	t>	1	initial	102.07	1	a	142.08	1	77.84	74.70	3.14	ejective
s08	geo020s08a0019v01	k>ak>ali	3	k>	1	initial	83.33	0	a	92.19	1	45.12	16.41	28.71	ejective
s08	geo020s08a0019v01	k>ak>ali	3	k>	2	medial	71.14	1	a	128.18	1	64.84	63.72	1.12	ejective
s08	geo020s08a0021v01	k>amera	3	k>	1	initial	47.61	1	a	137.38	0	64.58	60.21	4.37	ejective
s08	geo020s08a0023v01	p>akt>i	2	p>	1	initial	122.04	1	a	134.29	1	70.97	68.24	2.73	ejective
