pulm_2	pulm_1	by	score	n
ejective	pulmonic	('s08', 'question', 'labial', 'a')	0.670247933884	2420
pulmonic	ejective	('s08', 'question', 'labial', 'a')	0.476780794963	5082
ejective	pulmonic	('s08', 'answer', 'labial', 'a')	0.521929824561	2508
pulmonic	ejective	('s08', 'answer', 'labial', 'a')	0.579434697856	4104
ejective	pulmonic	('s09', 'answer', 'coronal', 'e')	0.5	14
pulmonic	ejective	('s09', 'answer', 'coronal', 'e')	0.238095238095	84
ejective	pulmonic	('s08', 'answer', 'velar', 'e')	1.0	14
pulmonic	ejective	('s08', 'answer', 'velar', 'e')	0.261904761905	84
ejective	pulmonic	('s09', 'answer', 'velar', 'e')	0.142857142857	14
pulmonic	ejective	('s09', 'answer', 'velar', 'e')	0.535714285714	84
ejective	pulmonic	('s09', 'answer', 'labial', 'a')	0.503401360544	1176
pulmonic	ejective	('s09', 'answer', 'labial', 'a')	0.476488095238	3360
ejective	pulmonic	('s08', 'question', 'coronal', 'e')	0.9375	16
pulmonic	ejective	('s08', 'question', 'coronal', 'e')	0.553571428571	112
ejective	pulmonic	('s09', 'question', 'labial', 'a')	0.6	690
pulmonic	ejective	('s09', 'question', 'labial', 'a')	0.467391304348	3036
pulmonic	ejective	('s08', 'question', 'velar', 'e')	0.595238095238	42
pulmonic	ejective	('s08', 'question', 'velar', 'a')	0.923976608187	342
ejective	pulmonic	('s08', 'question', 'coronal', 'o')	1.0	2
ejective	pulmonic	('s09', 'question', 'coronal', 'o')	1.0	4
pulmonic	ejective	('s09', 'question', 'coronal', 'o')	1.0	4
ejective	pulmonic	('s08', 'answer', 'coronal', 'e')	0.928571428571	14
pulmonic	ejective	('s08', 'answer', 'coronal', 'e')	0.75	84
ejective	pulmonic	('s09', 'question', 'velar', 'e')	0.5	16
pulmonic	ejective	('s09', 'question', 'velar', 'e')	0.669642857143	112
ejective	pulmonic	('s08', 'answer', 'coronal', 'o')	1.0	4
pulmonic	ejective	('s08', 'answer', 'coronal', 'o')	1.0	4
ejective	pulmonic	('s09', 'question', 'coronal', 'e')	0.6875	16
pulmonic	ejective	('s09', 'question', 'coronal', 'e')	0.473214285714	112
